Nr.,Autorius,Pavadinimas,Originalo pavadinimas,Kalba,Leidykla,Metai,Žanras,Serija,Puslapiai,ISBN,Lentynos vieta,Pastabos,Teminė linija,Subgrupė,ID,Statusas,Dabartinis laikytojas,Būklė,Kaina (EUR),Įsigijimo data,Įsigijimo šaltinis,Tiražas,Originalo metai,Foto,Atnaujinta,Kas atnaujino,Patalpa,Lentyna
2529.0,Карлос Кастанеда,Огонь изнутри,,RU,,,,,,,,"sena.lt rastas „София“ 1995 m. leidimas, kuriame VII t. „Огонь изнутри“ ir VIII t. „Сила безмолвия“ (ISBN 5868280067); ar turimas egzempliorius yra būtent šis, nepatvirtinta",,,K02539,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,9.0
2530.0,Карлос Кастанеда,Сила безмолвия,,RU,,,,,,,,"sena.lt rastas „София“ 1995 m. leidimas, kuriame VII t. „Огонь изнутри“ ir VIII t. „Сила безмолвия“ (ISBN 5868280067); ar turimas egzempliorius yra būtent šis, nepatvirtinta",,,K02540,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,9.0
2531.0,Карлос Кастанеда,,,RU,,,,,,,,"juoda nugarėlė tik su autoriaus vardu, tomo numerio nematyti · PATIKSLINTI",,,K02541,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,9.0
2532.0,Карлос Кастанеда,2026-05-06 00:00:00,,RU,,,,,,,,"tomai 5-6 · Sudėtinis К. Кастанеда „Сочинения“ tomas; tikėtina leidykla „София“, bet konkretus leidimas ir ISBN nenustatyti",,,K02542,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,9.0
2533.0,Hansas Kristianas Andersenas,Gražiausios Anderseno pasakos (II dalis),,LT,Vaiga,1998.0,Pasakos,,,,"Spinta G, 10 lentyna",autorius ant nugarėlės nenurodytas · ISBN skelbime nenurodytas,C16. Vaikų literatūra ir pasakos,Pasaulio vaikų klasika,K02543,Lentynoje,,,,,,,,,2026-09-17 15:21:00,g@cool.lt,Paupio 2 aukštas,10.0
2537.0,Rudolfas Erichas Raspė,Miunhauzeno nuotykiai,,LT,Vaga,1967.0,Pasakos / nuotykiai,,,,"Spinta G, 10 lentyna",keli lietuviški leidimai; pasirinktas sena.lt rastas 1967 m. Vagos leidimas,C16. Vaikų literatūra ir pasakos,Vaikų knygos ir lavinimas,K02547,Lentynoje,,,,,,,,,2026-09-17 15:21:00,g@cool.lt,Paupio 2 aukštas,10.0
2538.0,Džekas Londonas,Smokas Belju,Smoke Bellew,LT,Vaga,1985.0,Nuotykiai,,,,"Spinta I, 4 lentyna",patikslintas pavadinimas („Smokas Belju“); ISBN skelbime nenurodytas,A3. Klasikos kanonas (pagal šalis),Amerikos klasika,K02548,Lentynoje,,,,,,,,,2026-09-17 15:21:00,g@cool.lt,Paupio 2 aukštas,10.0
2542.0,Philip Pullman,Jo tamsiosios jėgos: Auksinis kompasas,Northern Lights / The Golden Compass,LT,Obuolys,2007.0,Fantastika (YA),Jo tamsiosios jėgos,,9789955700401.0,"Spinta I, 4 lentyna",Pasaulinių bestselerių trilogija,B13. YA fantastika,Kitos YA serijos,K02552,Lentynoje,,,,,,,,,2026-09-17 15:21:00,g@cool.lt,Paupio 2 aukštas,10.0
2550.0,George R. R. Martin,Wild Cards,,Anglų,,1986.0,Fantastika / antologija,Wild Cards,,,"Spinta I, 5 lentyna","ant nugarėlės „edited by George R.R. Martin"" · pirmojo leidimo metai pagal OpenLibrary; konkretus turimo egzemplioriaus leidimas nenustatytas (29 leidimai); kataloge nenurodytas tomas",B12. Šiuolaikinė SF ir fantasy,Epinė fantasy,K02560,Lentynoje,,,,,,,,,2026-09-17 15:21:00,g@cool.lt,Paupio 2 aukštas,11.0
2551.0,Jonathan Stroud,The Ring of Solomon,,EN,Corgi,2010.0,Fantastika (YA),Bartimaeus,,,"Spinta I, 5 lentyna",Corgi · pirmojo leidimo metai pagal OpenLibrary; konkretus turimo egzemplioriaus leidimas nenustatytas (12 leidimų),B13. YA fantastika,Kitos YA serijos,K02561,Lentynoje,,,,,,,,,2026-09-17 15:21:00,g@cool.lt,Paupio 2 aukštas,11.0
2554.0,Paulo Coelho,O Alquimista / The Alchemist,,EN,,,,,,,,"HarperFiction, International Edition · originalas portugalų k. 1988 m., angliškas vertimas 1993 m.; OpenLibrary rodo 141 leidimą — konkretus nenustatytas",,,K02564,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,11.0
2556.0,Stephen Hawking ir Leonard Mlodinow,Didysis projektas,The Grand Design,Lietuvių,Jotema,2011.0,Mokslo populiarinimas,,,9789955132844.0,"Spinta I, 8 lentyna (Hawking, mokslas)",,"F34. Kosmosas, fizika, matematika",,K02566,Lentynoje,,,,,,,,,2026-09-17 15:21:00,g@cool.lt,Paupio 2 aukštas,12.0
2560.0,Stephen Hawking,Trumpa laiko istorija,,,Kitos knygos,2019.0,,,,9786094273568.0,,(2 egz.) · dvi katalogo eilutės (105 ir 106) gali būti skirtingi leidimai; rastas tik Kitos knygos 2019 m. leidimas,,,K02570,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,12.0
2564.0,Peter Kelder,Jaunystės šaltinis: 5 Tibeto pratimai,,LT,Obuolys,2010.0,,,,9786094031847.0,,,,,K02574,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,13.0
2576.0,Maria-E. Lange-Ernst,Efektyvus depresijų ir baimės ligų gydymas,,LT,,,,,,,,"Lietuviško leidimo duomenų rasti nepavyko (sena.lt, google)",,,K02586,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,14.0
2577.0,Carl Gustav Jung,,,,,,,,,,,"balta nugarėlė tik su autoriaus vardu, pavadinimo nėra · PATIKSLINTI",,,K02587,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,14.0
2578.0,James Clear,Atominiai įpročiai: lengvas ir patikrintas būdas išsiugdyti gerus įpročius ir nugalėti blogus,,LT,Liūtai ne avys,2019.0,,,,9786098254037.0,,,,,K02588,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,14.0
2581.0,,(neįskaityta nugarėlė),,LT,,,,,,,,"raudona knyga, įstumta giliau, nugarėlė paslėpta už kaimyninių · PATIKSLINTI",,,K02591,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,14.0
2583.0,Jonah Lehrer,Proust Was a Neuroscientist,,EN,Houghton Mifflin,2007.0,,,,,,Mariner · pirmojo leidimo metai pagal OpenLibrary; konkretus turimo egzemplioriaus leidimas nenustatytas (8 leidimai),,,K02593,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,14.0
2584.0,Johan Huizinga,Homo Ludens: A Study of the Play-Element in Culture,,EN,,,,,,,,"originalas 1938 m. (olandų k.), angliški leidimai nuo 1949 m. (Routledge), OpenLibrary rodo Beacon Press 1964 — konkretus nenustatytas",,,K02594,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,14.0
2585.0,Sarah Wilson,Įveiktas nerimas: pirmiausia pabaisą paverskime gražuole,,LT,Liūtai ne avys,2021.0,,,,9786099603360.0,,Liūtai,,,K02595,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,14.0
2586.0,Pearman & Albritton,"I'm Not Crazy, I'm Just Not You",,,,,,,,,,"trys leidimai: Davies-Black 1997, Nicholas Brealey 2010 ir 3-iasis 2020 — konkretus nenustatytas",,,K02596,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,14.0
2591.0,Jo Nesbo,The Son,Sønnen,EN,Vintage,2014.0,Trileris,,,,"Spinta I, 11 lentyna (Jo Nesbø, detektyvai)",Vintage · pirmojo leidimo metai pagal OpenLibrary; konkretus turimo egzemplioriaus leidimas nenustatytas (Knopf / Harvill Secker),B15. Modernūs trileriai ir kriminalai,Šiaurietiškas noir,K02601,Lentynoje,,,,,,,,,2026-09-17 15:21:00,g@cool.lt,Paupio 2 aukštas,15.0
2593.0,Simon Beckett,Įrašyta kauluose,,LT,Tyto alba,2012.0,,,,9789986168850.0,,Tyto alba,,,K02603,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,15.0
2594.0,Deborah Lynn Darling,Elegancijos paslaptys,,,Alma littera,2003.0,,,,9789955083993.0,,Alma littera,,,K02604,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,16.0
2595.0,Vladimir Sorokin,Ledas,,,Kitos knygos,2007.0,,,,9789955086840.0,,,,,K02605,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,16.0
2596.0,Platonovas,,,,,,,,,,,"kreminė audeklo nugarėlė, įskaitoma tik pavardė „PLATONOVAS"", pavadinimas nublukęs · PATIKSLINTI",,,K02606,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,16.0
2597.0,Nikas Kazandzakis,Graikas Zorba,,,Vaga,1978.0,,,,,,"autorius ant nugarėlės nenurodytas (mėlynos raidės) · patikslintas autorius ir pavadinimas; skelbime nurodytas ISBN neatitinka 1978 m. leidimo, todėl nerašomas",,,K02607,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,16.0
2598.0,,(neįskaityta nugarėlė),,LT,,,,,,,,šviesi/gelsva apirusi nugarėlė be įskaitomo teksto · PATIKSLINTI,,,K02608,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,16.0
2599.0,A. Bušnovas,,,LT,,,,,,,,"nutrinta auksinė nugarėlė, raudonos raidės, autorius spėjamas, pavadinimas neįskaitomas · PATIKSLINTI",,,K02609,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,16.0
2600.0,G. A. Trauskas,Širdis ir šaukštas,,LT,,,,,,,,"plona nugarėlė, autoriaus pavardė ir pavadinimas blankūs · PATIKSLINTI",,,K02610,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,16.0
2601.0,Marijo Pjuzo,Sicilietis,,,Alna litera,1993.0,,,,,,ISBN skelbime nenurodytas,,,K02611,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,16.0
2602.0,Filomena Taunytė,Daktarės Filomenos Taunytės priimamasis,,LT,Tyto alba,2013.0,Sveikata,,,9789986169840.0,"Spinta I, 14 lentyna (įvairenybės)",Tyto alba,H43. Sveikata ir mityba,,K02612,Lentynoje,,,,,,,,,2026-09-17 15:21:00,g@cool.lt,Paupio 2 aukštas,16.0
2603.0,"M. F. Roizen, M. C. Oz",Tu savo kūno valdovas,,LT,,,Sveikata,,,,"Spinta I, 14 lentyna (įvairenybės)",Alma littera · Lietuviško leidimo duomenų patikimo šaltinio nerasta.,H43. Sveikata ir mityba,,K02613,Lentynoje,,,,,,,,,2026-09-17 15:21:00,g@cool.lt,Paupio 2 aukštas,16.0
2605.0,Agatha Christie,Kodėl nepaprašė Evans?,,LT,Sirokas,2008.0,,,,9789955740070.0,,Lietuviškas leidimas; keli leidimai – duomenys iš sena.lt skelbimo.,,,K02615,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,17.0
2606.0,Agatha Christie,Perskilęs veidrodis,,LT,Sirokas,2000.0,,,,9789986833154.0,,Lietuviškas leidimas; keli leidimai – duomenys iš sena.lt skelbimo.,,,K02616,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,17.0
2607.0,Agatha Christie,Kreivas nameliūkštis,,LT,Sirokas,2013.0,,,,9786098057126.0,,Lietuviškas leidimas; keli leidimai – duomenys iš sena.lt skelbimo. Kitas skelbimas tą patį ISBN sieja su 1998 m. – metai imti iš Sirokas leidimo įrašo.,,,K02617,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,17.0
2608.0,Agatha Christie,Dilema Polensos kurorte,,,,,,,,,,"Lietuviško leidimo įrašo nerasta (tikėtina Sirokas serija, nepatvirtinta).",,,K02618,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,17.0
2609.0,Agatha Christie,4.50 iš Padingtono,,LT,,1994.0,,,,9986436400.0,,Skelbime leidykla nenurodyta; keli leidimai.,,,K02619,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,17.0
2610.0,Agatha Christie,Tai daroma su veidrodžiais,,LT,Sirokas,2005.0,,,,9789986833512.0,,Keli leidimai.,,,K02620,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,17.0
2611.0,Agatha Christie,Mįslingas nutikimas Stailze,,LT,Sirokas,2009.0,,,,9786099509006.0,,Lietuviškas leidimas; keli leidimai – duomenys iš sena.lt skelbimo.,,,K02621,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,17.0
2612.0,Agatha Christie,Nusikaltimo bendrininkai,,,,,,,,,,"Lietuviško leidimo įrašo nerasta (tikėtina Sirokas serija, nepatvirtinta).",,,K02622,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,17.0
2613.0,Agatha Christie,Trylika galvosūkių,,LT,Sirokas,2009.0,,,,9789955740247.0,,Lietuviškas leidimas; keli leidimai – duomenys iš sena.lt skelbimo.,,,K02623,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,17.0
2614.0,Agatha Christie,Paslaptingasis misteris Kvinas,,,,,,,,,,"Lietuviško leidimo įrašo nerasta (tikėtina Sirokas serija, nepatvirtinta).",,,K02624,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,17.0
2615.0,Agatha Christie,Herkulio žygdarbiai,,LT,Sirokas,2012.0,,,,9786098057089.0,,Lietuviškas leidimas; keli leidimai – duomenys iš sena.lt skelbimo.,,,K02625,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,17.0
2616.0,Agatha Christie,Nekaltojo kankinimas,,,Sirokas,2004.0,,,,9789955952886.0,,Lietuviškas leidimas; keli leidimai – duomenys iš sena.lt skelbimo.,,,K02626,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,17.0
2617.0,Agatha Christie,Postern of Fate,,EN,,1973.0,,,,,,"angliškas leidimas · Originalus angliškas leidimas (Collins Crime Club / Dodd Mead); daug leidimų, konkretus nenustatytas.",,,K02627,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,17.0
2618.0,Agatha Christie,Jie atvyko į Bagdadą,,LT,Sirokas,2008.0,,,,9789955740148.0,,Lietuviškas leidimas; keli leidimai – duomenys iš sena.lt skelbimo.,,,K02628,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,17.0
2619.0,Agatha Christie,N ar M?,,,Sirokas,1998.0,,,,,,ISBN nenurodytas; keli leidimai.,,,K02629,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,17.0
2620.0,Agatha Christie,Žmogžudystė golfo lauke,,LT,Sirokas,2008.0,,,,9789955740087.0,,Lietuviškas leidimas; keli leidimai – duomenys iš sena.lt skelbimo.,,,K02630,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,17.0
2621.0,Agatha Christie,Rodžerio Ekroido nužudymas,,LT,Sirokas,2009.0,,,,9786099509013.0,,Lietuviškas leidimas; keli leidimai – duomenys iš sena.lt skelbimo.,,,K02631,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,17.0
2622.0,Agatha Christie,(neįskaityta nugarėlė),,LT,,,,,,,,"tamsi nugarėlė, pavadinimas per blankus · PATIKSLINTI",,,K02632,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,17.0
2623.0,Agatha Christie,Rugiai kišenėje,,LT,Sirokas,2006.0,,,,9789955987031.0,,Lietuviškas leidimas; keli leidimai – duomenys iš sena.lt skelbimo. ISBN skelbime: 9955-9870-3-0.,,,K02633,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,17.0
2624.0,Agatha Christie,Cards on the Table,,EN,,1936.0,,,,,,"angliškas leidimas · Pirmojo angliško leidimo metai; daug leidimų, konkretus nenustatytas.",,,K02634,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,17.0
2625.0,Agatha Christie,Nesibaigianti naktis,,,Sirokas,2012.0,,,,9786098057119.0,,Lietuviškas leidimas; keli leidimai – duomenys iš sena.lt skelbimo.,,,K02635,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,17.0
2626.0,Agatha Christie,Susitikimas su mirtimi,,,Sirokas,2001.0,,,,9789986833208.0,,Lietuviškas leidimas; keli leidimai – duomenys iš sena.lt skelbimo.,,,K02636,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,17.0
2627.0,Agatha Christie,Death on the Nile,,EN,,1937.0,,,,,,"angliškas leidimas · Pirmojo angliško leidimo metai; daug leidimų, konkretus nenustatytas.",,,K02637,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,17.0
2628.0,Agatha Christie,Mieganti žmogžudystė,,LT,Sirokas,2004.0,,,,9789955952879.0,,Lietuviškas leidimas; keli leidimai – duomenys iš sena.lt skelbimo. ISBN skelbime: 9955952873 (ISBN-10).,,,K02638,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,17.0
2629.0,Agatha Christie,Keleivis į Frankfurtą,,LT,,1998.0,,,,,,Skelbime leidykla ir ISBN nenurodyti; keli leidimai.,,,K02639,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,17.0
2630.0,,(neįskaityta nugarėlė),,LT,,,,,,,,nuotrauka toje vietoje suliejusi · PATIKSLINTI,,,K02640,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,17.0
2631.0,Agatha Christie,(neįskaityta nugarėlė),,LT,,,,,,,,"dešinysis kraštinis, pavadinimas neįskaitomas · PATIKSLINTI",,,K02641,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,17.0
2638.0,Siddhartha Mukherjee,The Gene,,EN,,2016.0,Mokslo populiarinimas,,,,"Spinta I, 30 lentyna (fizika, mokslas)","Pirmojo leidimo metai; daug leidimų, konkretus nenustatytas.",F35. Gyvybės mokslai ir evoliucija,★ pora: originalas + vertimas,K02648,Lentynoje,,,,,,,,,2026-09-17 15:21:00,g@cool.lt,Paupio 2 aukštas,18.0
2639.0,,(neįskaityta nugarėlė),,LT,,,,,,,,"japoniška/kiniška knyga, hieroglifai · PATIKSLINTI",,,K02649,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,18.0
2641.0,Hesse,(neįskaityta nugarėlė),,LT,,,,,,,,matomas tik autoriaus vardas ant siauros nugarėlės · PATIKSLINTI,,,K02651,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,18.0
2645.0,,(neįskaityta nugarėlė),,LT,,,,,,,,"juoda knyga atsukta galine viršelio puse („Progresas – tai apgaulė. Mes pasmerkti"") · PATIKSLINTI",,,K02655,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,18.0
2646.0,Artūras Pitkauskas,Štai kodėl mums nepasiekiamas Marsas: trumpa žmogiškų vilčių ir nusivylimų istorija,,LT,,2022.0,Mokslo populiarinimas,,,,"Spinta I, 30 lentyna (fizika, mokslas)",Leidykla ir ISBN šaltinyje nenurodyti.,F36. Mokslo ir idėjų istorija,,K02656,Lentynoje,,,,,,,,,2026-09-17 15:21:00,g@cool.lt,Paupio 2 aukštas,18.0
2647.0,,(neįskaityta nugarėlė),,LT,,,,,,,,"oranžinė knyga gale, matomas tik briaunos kraštas · PATIKSLINTI",,,K02657,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,18.0
2648.0,Vytautas Tarasonis,Fizika,,LT,Žiburys,,Vadovėlis (fizika),,,,"Spinta B, 6 lentyna (apatinė)","tomas I · V. Tarasonio „Fizika“ vadovėliai: II d. 11 kl. (Žiburys, 1999, ISBN 9986524113) ir III d. XII kl. (Žiburys, 1998, ISBN 9986525199). Kuris tomas – nenustatyta.","F34. Kosmosas, fizika, matematika",,K02658,Lentynoje,,,,,,,,,2026-09-17 15:21:00,g@cool.lt,Paupio 2 aukštas,18.0
2649.0,Vytautas Tarasonis,Fizika,,LT,Žiburys,,,,,,,"tomas III · V. Tarasonio „Fizika“ vadovėliai: II d. 11 kl. (Žiburys, 1999, ISBN 9986524113) ir III d. XII kl. (Žiburys, 1998, ISBN 9986525199). Kuris tomas – nenustatyta.",,,K02659,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,18.0
2650.0,Rovelli and Vidotto,Covariant Loop Quantum Gravity,,EN,Cambridge University Press,2014.0,Fizika,,,,"Spinta I, 30 lentyna (fizika, mokslas)",Cambridge,"F34. Kosmosas, fizika, matematika",,K02660,Lentynoje,,,,,,,,,2026-09-17 15:21:00,g@cool.lt,Paupio 2 aukštas,18.0
2651.0,Randall Munroe,Thing Explainer,,Anglų,Houghton Mifflin Harcourt,2015.0,Mokslo populiarinimas,,,,"Spinta I, 30 lentyna (fizika, mokslas)",Keli leidimai.,B9. Šiuolaikinė pasaulio proza,Nobelio laureatai,K02661,Lentynoje,,,,,,,,,2026-09-17 15:21:00,g@cool.lt,Paupio 2 aukštas,18.0
2652.0,,(neįskaityta nugarėlė),,LT,,,,,,,,didelio formato balta knyga/brošiūra kairiajame krašte · PATIKSLINTI,,,K02662,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,19.0
2653.0,Dr. John McDougall,The Healthiest Diet on the Planet,,EN,HarperOne,2016.0,Mityba / sveikata,,,9780062426765.0,"Spinta I, 31 lentyna (mityba, sveikata)",,H43. Sveikata ir mityba,,K02663,Lentynoje,,,,,,,,,2026-09-17 15:21:00,g@cool.lt,Paupio 2 aukštas,19.0
2654.0,"Garth Davis, M.D.",Proteinaholic,,Anglų,HarperCollins (HarperOne),2015.0,Mityba / sveikata,,,9780062279309.0,"Spinta I, 31 lentyna (mityba, sveikata)",,H43. Sveikata ir mityba,,K02664,Lentynoje,,,,,,,,,2026-09-17 15:21:00,g@cool.lt,Paupio 2 aukštas,19.0
2655.0,Dr. Neal Barnard,Dr. Neal Barnard's Program for Reversing Diabetes,,Anglų,Rodale,2006.0,Mityba / sveikata,,,,"Spinta I, 31 lentyna (mityba, sveikata)","Keli leidimai (2006, 2007).",H43. Sveikata ir mityba,,K02665,Lentynoje,,,,,,,,,2026-09-17 15:21:00,g@cool.lt,Paupio 2 aukštas,19.0
2656.0,"Caldwell B. Esselstyn, Jr., M.D.",Prevent and Reverse Heart Disease,,EN,Avery (Penguin),2007.0,Mityba / sveikata,,,,"Spinta I, 31 lentyna (mityba, sveikata)",Keli leidimai.,H43. Sveikata ir mityba,,K02666,Lentynoje,,,,,,,,,2026-09-17 15:21:00,g@cool.lt,Paupio 2 aukštas,19.0
2658.0,Dr Valter Longo,The Longevity Diet,,EN,Penguin,2018.0,Sveikata / ilgaamžiškumas,,,9780525534075.0,"Spinta I, 31 lentyna (mityba, sveikata)",Leidykla šaltinyje nenurodyta (Avery).,H43. Sveikata ir mityba,,K02668,Lentynoje,,,,,,,,,2026-09-17 15:21:00,g@cool.lt,Paupio 2 aukštas,19.0
2659.0,"Dean Ornish, M.D.",The Spectrum,,EN,Ballantine Books,2007.0,Mityba / sveikata,,,9780345496300.0,"Spinta I, 31 lentyna (mityba, sveikata)",,H43. Sveikata ir mityba,,K02669,Lentynoje,,,,,,,,,2026-09-17 15:21:00,g@cool.lt,Paupio 2 aukštas,19.0
2660.0,"T. Colin Campbell, PhD",The Future of Nutrition,,EN,BenBella Books,2020.0,Mityba / mokslas,,,,"Spinta I, 31 lentyna (mityba, sveikata)",Keli leidimai.,F36. Mokslo ir idėjų istorija,,K02670,Lentynoje,,,,,,,,,2026-09-17 15:21:00,g@cool.lt,Paupio 2 aukštas,19.0
2661.0,Michael Greger,How Not to Die,,EN,Flatiron Books,2015.0,Mityba / sveikata,,,,"Spinta I, 31 lentyna (mityba, sveikata)",Daug leidimų.,H43. Sveikata ir mityba,,K02671,Lentynoje,,,,,,,,,2026-09-17 15:21:00,g@cool.lt,Paupio 2 aukštas,19.0
2662.0,"Dr. Jean-Claude Lapraz, Marie-Laure de Clermont-Tonnerre",Individualizuota medicina endobiogenika,,Lietuvių,Tyto alba,2021.0,Medicina,,,9786094661693.0,"Spinta I, 31 lentyna (mityba, sveikata)",Lietuviškas leidimas.,H44. Alternatyvi ir Rytų medicina,,K02672,Lentynoje,,,,,,,,,2026-09-17 15:21:00,g@cool.lt,Paupio 2 aukštas,19.0
2663.0,Philipp Dettmer,"Imunitetas: paslaptinga sistema, sauganti jūsų gyvybę",,LT,,,,,,,,Lietuviško leidimo metai/leidykla nepatvirtinti; originalas „Immune“ (2021).,,,K02673,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,19.0
2664.0,"Brenda Davis, Vesanto Melina",Becoming Vegan,,Anglų,Book Publishing Company,,Mityba,,,,"Spinta I, 31 lentyna (mityba, sveikata)","Comprehensive Edition · Neaišku, kuris leidimas („Becoming Vegan“ 2000 ir „Becoming Vegan: Express Edition“ 2013); nepatvirtinta.",H43. Sveikata ir mityba,,K02674,Lentynoje,,,,,,,,,2026-09-17 15:21:00,g@cool.lt,Paupio 2 aukštas,19.0
2669.0,,(neįskaityta nugarėlė),,LT,,,,,,,,"sena apdriskusi knyga, tekstas kirilica, neįskaitomas · PATIKSLINTI",,,K02679,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,20.0
2671.0,Juozas Macevičius (sudarytojas),Tūkstantis li. Senovės kinų išmintis,,LT,Gamta,2005.0,,,,9955649259.0,,"juoda nugarėlė su kinų hieroglifais, autorius nenurodytas",,,K02681,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,20.0
2672.0,Omar Chajam,Rubajatai,Rubáiyát,Rusų,Meralas,2002.0,Poezija,,,9789955991502.0,"Spinta A, 4 lentyna",Keli lietuviški leidimai.,A4. Rusų lentyna (originalo k.),XIX a. klasika (Gogolis–Čechovas) ★ pora: originalas + vertimas,K02682,Lentynoje,,,,,,,,,2026-09-17 15:21:00,g@cool.lt,Paupio 2 aukštas,20.0
